   Compiling codescout v0.15.0 (/home/marius/work/claude/codescout)
    Finished `test` profile [unoptimized + debuginfo] target(s) in 17.82s
     Running unittests src/lib.rs (target/debug/deps/codescout-3862dc74422bdd1f)

running 5466 tests
test agent::build_check::tests::a_check_inside_the_window_is_debounced ... ok
test agent::build_check::tests::a_break_is_announced_once_and_not_again ... ok
test agent::build_check::tests::a_check_past_the_window_runs ... ok
test agent::build_check::tests::a_clean_check_announces_nothing ... ok
test agent::build_check::tests::a_missing_target_dir_does_not_read_as_a_held_lock ... ok
test agent::build_check::tests::a_lock_held_by_another_handle_is_observed_as_held ... ok
test agent::build_check::tests::a_clean_check_reports_nothing ... ok
test agent::build_check::tests::a_session_with_no_recorded_cwd_is_not_counted ... ok
test agent::build_check::tests::a_skip_announces_nothing ... ok
test agent::build_check::tests::a_disabled_check_never_spawns_cargo ... ok
test agent::build_check::tests::a_secondary_span_in_my_file_does_not_make_the_error_mine ... ok
test agent::build_check::tests::a_warning_in_my_file_is_not_a_break ... ok
test agent::build_check::tests::a_mixed_red_reports_only_my_file ... ok
test agent::build_check::tests::a_held_cargo_lock_skips_instead_of_waiting ... ok
test agent::build_check::tests::an_idle_or_running_check_announces_nothing ... ok
test agent::build_check::tests::an_error_only_in_a_peers_file_is_not_my_notice ... ok
test agent::build_check::tests::an_error_in_a_file_this_session_wrote_is_reported ... ok
test agent::build_check::tests::no_sessions_at_all_is_not_shared ... ok
test agent::build_check::tests::one_session_in_this_checkout_is_not_shared ... ok
test agent::build_check::tests::the_default_env_is_enabled_with_the_documented_timeout ... ok
test agent::build_check::tests::sessions_in_other_checkouts_do_not_make_this_one_shared ... ok
test agent::build_check::tests::the_first_check_is_never_debounced ... ok
test agent::build_check::tests::non_diagnostic_lines_are_skipped_without_error ... ok
test agent::build_check::tests::the_notice_states_a_fact_and_asks_for_nothing ... ok
test agent::build_check::tests::two_sessions_in_this_checkout_is_shared ... ok
test agent::tests::a_single_session_switching_its_own_slot_is_not_a_race ... ok
