training-side source claude:claude-sonnet-5: 26/176 = 0.148 [0.103, 0.208] kept
  claude:claude-sonnet-5         training act_on_artifact        0/8 (N=40) 
  claude:claude-sonnet-5         training cannot_happen          1/8 (N=36) 
  claude:claude-sonnet-5         training closed_population      1/8 (N=45) 
  claude:claude-sonnet-5         training contradiction          8/8 (N=48) DROP
  claude:claude-sonnet-5         training count_unit             1/8 (N=48) 
  claude:claude-sonnet-5         training d_adjacency            0/8 (N=29) 
  claude:claude-sonnet-5         training d_fixture              0/8 (N=65) 
  claude:claude-sonnet-5         training d_history              1/8 (N=35) 
  claude:claude-sonnet-5         training d_loudness             1/8 (N=43) 
  claude:claude-sonnet-5         training d_mutation             0/8 (N=53) 
  claude:claude-sonnet-5         training d_red                  0/8 (N=56) 
  claude:claude-sonnet-5         training d_semicolon            0/8 (N=66) 
  claude:claude-sonnet-5         training d_sessionid            0/8 (N=32) 
  claude:claude-sonnet-5         training d_visibility           0/8 (N=35) 
  claude:claude-sonnet-5         training lines_read             1/8 (N=33) 
  claude:claude-sonnet-5         training member_vs_population   1/8 (N=45) 
  claude:claude-sonnet-5         training monotone_absence       0/8 (N=45) 
  claude:claude-sonnet-5         training open_artifact          0/8 (N=34) 
  claude:claude-sonnet-5         training question_asked         3/8 (N=44) DROP
  claude:claude-sonnet-5         training run_tool               1/8 (N=33) 
  claude:claude-sonnet-5         training scope_instant          4/8 (N=28) DROP
  claude:claude-sonnet-5         training selector_narrow        3/8 (N=46) DROP
  claude:claude-sonnet-5         tsyn     act_on_artifact        0/8 (N=11) 
  claude:claude-sonnet-5         tsyn     cannot_happen          0/8 (N=9) 
  claude:claude-sonnet-5         tsyn     closed_population      0/8 (N=11) 
  claude:claude-sonnet-5         tsyn     contradiction          6/6 (N=6) DROP
  claude:claude-sonnet-5         tsyn     count_unit             4/8 (N=9) DROP
  claude:claude-sonnet-5         tsyn     d_adjacency            0/8 (N=9) 
  claude:claude-sonnet-5         tsyn     d_fixture              0/8 (N=12) 
  claude:claude-sonnet-5         tsyn     d_history              0/8 (N=8) 
  claude:claude-sonnet-5         tsyn     d_loudness             0/8 (N=10) 
  claude:claude-sonnet-5         tsyn     d_mutation             0/8 (N=15) 
  claude:claude-sonnet-5         tsyn     d_red                  1/8 (N=10) 
  claude:claude-sonnet-5         tsyn     d_semicolon            0/8 (N=13) 
  claude:claude-sonnet-5         tsyn     d_sessionid            0/8 (N=10) 
  claude:claude-sonnet-5         tsyn     d_visibility           0/2 (N=2) 
  claude:claude-sonnet-5         tsyn     lines_read             0/6 (N=6) 
  claude:claude-sonnet-5         tsyn     member_vs_population   0/8 (N=8) 
  claude:claude-sonnet-5         tsyn     monotone_absence       2/8 (N=9) DROP
  claude:claude-sonnet-5         tsyn     open_artifact          0/8 (N=10) 
  claude:claude-sonnet-5         tsyn     question_asked         1/3 (N=3) DROP
  claude:claude-sonnet-5         tsyn     run_tool               2/7 (N=7) DROP
  claude:claude-sonnet-5         tsyn     scope_instant          5/8 (N=8) DROP
  claude:claude-sonnet-5         tsyn     selector_narrow        3/8 (N=9) DROP
  codex:gpt-6-astra/medium       tsyn     act_on_artifact        0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     cannot_happen          0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     closed_population      1/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     contradiction          0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     count_unit             1/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     d_adjacency            0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     d_fixture              0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     d_history              0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     d_loudness             0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     d_mutation             0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     d_red                  0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     d_semicolon            1/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     d_sessionid            0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     d_visibility           0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     lines_read             0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     member_vs_population   0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     monotone_absence       1/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     open_artifact          2/8 (N=15) DROP
  codex:gpt-6-astra/medium       tsyn     question_asked         0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     run_tool               0/8 (N=15) 
  codex:gpt-6-astra/medium       tsyn     scope_instant          5/8 (N=15) DROP
  codex:gpt-6-astra/medium       tsyn     selector_narrow        0/8 (N=15) 
